"Symbol","Company_Name","Country","IPO_Year","Sector","Last_Sale"
"DAVA","Endava plc American Depositary Shares (each representing one Class A Ordinary Share)","United States","2018","Technology","100.89"
"DBVT","DBV Technologies S.A. American Depositary Shares","France","2014","Health Care","1.51"
"DCUE","Dominion Energy Inc. 2019 Series A Corporate Units","United States","2019","Utilities","101.61"
"DDI","DoubleDown Interactive Co. Ltd. American Depository Shares","South Korea","2021","Technology","11.32"
"DDOG","Datadog Inc. Class A Common Stock","United States","2019","Technology","95.39"
"DECK","Deckers Outdoor Corporation Common Stock","United States","1993","Consumer Discretionary","268.56"
"DG","Dollar General Corporation Common Stock","United States","2009","Consumer Discretionary","220.34"
"DHT","DHT Holdings Inc.","Jersey","2005","Consumer Discretionary","5.96"
"DILAU","DILA Capital Acquisition Corp. Unit","Mexico","2021","Industrials","10.02"
"DILAW","DILA Capital Acquisition Corp. Warrant","Mexico","2021","Industrials","0.19"
"DIT","AMCON Distributing Company Common Stock","United States","1999","Consumer Discretionary","156.5"
"DKDCA","Data Knights Acquisition Corp. Class A Common Stock","United Kingdom","2021","Industrials","10.22"
"DKDCU","Data Knights Acquisition Corp. Unit","United Kingdom","2021","Industrials","10.37"
"DLR","Digital Realty Trust Inc. Common Stock","United States","2004","Real Estate","139.59"
"DLTR","Dollar Tree Inc. Common Stock","United States","1995","Consumer Discretionary","160.33"
"DOGZ","Dogness (International) Corporation Class A Common Stock","China","2017","Consumer Discretionary","4"
"DOYU","DouYu International Holdings Limited ADS","China","2019","Technology","1.29"
"DPZ","Domino's Pizza Inc Common Stock","United States","2004","Consumer Discretionary","363.17"
"DQ","DAQO New Energy Corp. American Depositary Shares each representing five ordinary shares","China","2010","Technology","48.9"
"DSAC","Duddell Street Acquisition Corp. Class A Ordinary Shares","Hong Kong","2020","Finance","9.93"
"DSACU","Duddell Street Acquisition Corp. Unit","Hong Kong","2020","Finance","10.3"
"DSACW","Duddell Street Acquisition Corp. Warrant","Hong Kong","2020","Finance","0.8"
"DSWL","Deswell Industries Inc. Common Shares","Macau","1995","Industrials","3.2"
"DSX","Diana Shipping inc. common stock","Greece","2005","Consumer Discretionary","6.34"
